
Overlap Results

Collection(s):	CP, H
# overlaps shown:	4
# genesets in collections:	1379
# genes in comparison (n):	177
# genes in universe (N):	45956

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
79058	ASPSCR1	ASPSCR1, UBX domain containing tether for SLC2A4				
80325	ABTB1	ankyrin repeat and BTB domain containing 1				
4010	LMX1B	LIM homeobox transcription factor 1 beta				
51385	ZNF589	zinc finger protein 589				
22955	SCMH1	Scm polycomb group protein homolog 1				
50614	GALNT9	polypeptide N-acetylgalactosaminyltransferase 9				
57494	RIMKLB	ribosomal modification protein rimK like family member B				
197322	ACSF3	acyl-CoA synthetase family member 3				
55007	FAM118A	family with sequence similarity 118 member A				
2050	EPHB4	EPH receptor B4				
7879	RAB7A	RAB7A, member RAS oncogene family				
7739	ZNF185	zinc finger protein 185 with LIM domain				
2785	GNG3	G protein subunit gamma 3				
1745	DLX1	distal-less homeobox 1				
1734	DIO2	iodothyronine deiodinase 2				
9094	UNC119	unc-119 lipid binding chaperone				
9651	PLCH2	phospholipase C eta 2				
55230	USP40	ubiquitin specific peptidase 40				
8694	DGAT1	diacylglycerol O-acyltransferase 1				
1655	DDX5	DEAD-box helicase 5				
54507	ADAMTSL4	ADAMTS like 4				
26038	CHD5	chromodomain helicase DNA binding protein 5				
9719	ADAMTSL2	ADAMTS like 2				
1120	CHKB	choline kinase beta				
112476	PRRT2	proline rich transmembrane protein 2				
29944	PNMA3	PNMA family member 3				
11176	BAZ2A	bromodomain adjacent to zinc finger domain 2A				
393	ARHGAP4	Rho GTPase activating protein 4				
200186	CRTC2	CREB regulated transcription coactivator 2				
23373	CRTC1	CREB regulated transcription coactivator 1				
285498	RNF212	ring finger protein 212				
158056	MAMDC4	MAM domain containing 4				
8789	FBP2	fructose-bisphosphatase 2				
9324	HMGN3	high mobility group nucleosomal binding domain 3				
197335	WDR90	WD repeat domain 90				
53904	MYO3A	myosin IIIA				
7477	WNT7B	Wnt family member 7B				
167681	PRSS35	serine protease 35				
338657	CCDC84	coiled-coil domain containing 84				
203062	TSNARE1	t-SNARE domain containing 1				
2974	GUCY1B2	guanylate cyclase 1 soluble subunit beta 2 (pseudogene)				
83854	ANGPTL6	angiopoietin like 6				
8078	USP5	ubiquitin specific peptidase 5				
54963	UCKL1	uridine-cytidine kinase 1 like 1				
84333	PCGF5	polycomb group ring finger 5				
3632	INPP5A	inositol polyphosphate-5-phosphatase A				
57795	BRINP2	BMP/retinoic acid inducible neural specific 2				
5187	PER1	period circadian regulator 1				
6668	SP2	Sp2 transcription factor				
84081	NSRP1	nuclear speckle splicing regulatory protein 1				
55644	OSGEP	O-sialoglycoprotein endopeptidase				
131408	FAM131A	family with sequence similarity 131 member A				
254173	TTLL10	tubulin tyrosine ligase like 10				
64745	METTL17	methyltransferase like 17				
9149	DYRK1B	dual specificity tyrosine phosphorylation regulated kinase 1B				
8021	NUP214	nucleoporin 214				
1736	DKC1	dyskerin pseudouridine synthase 1				
11156	PTP4A3	protein tyrosine phosphatase type IVA, member 3				
10723	SLC12A7	solute carrier family 12 member 7				
7016	TESK1	testis associated actin remodelling kinase 1				
6433	SFSWAP	splicing factor SWAP				
91010	FMNL3	formin like 3				
9509	ADAMTS2	ADAM metallopeptidase with thrombospondin type 1 motif 2				
NA	KIAA0907	NA				
3897	L1CAM	L1 cell adhesion molecule				
2286	FKBP2	FKBP prolyl isomerase 2				
9295	SRSF11	serine and arginine rich splicing factor 11				
7162	TPBG	trophoblast glycoprotein				
57455	REXO1	RNA exonuclease 1 homolog				
80179	MYO19	myosin XIX				
677807	SNORA22	small nucleolar RNA, H/ACA box 22				
3297	HSF1	heat shock transcription factor 1				
