 	assay	results	details	details2	outlierDruggableGroup	Activated GeneSet Lead for CKCC paper	Upoutlier support	Pathway support	Other support	comment
TH01_0062_S01	geneSets_priority1	BIOCARTA_BCR_PATHWAY (pc_up (7/37))	druggable: BTK (pc)	overlap_genes_in_pc_up BTK,CD79B,GRB2,LYN,MAPK14,PRKCB,VAV1 and pd_up NA						
TH01_0062_S01	geneSets_priority1	BIOCARTA_IL3_PATHWAY (pc_up (4/15))	druggable: STAT5B (pc)	overlap_genes_in_pc_up CSF2RB,GRB2,PTPN6,STAT5B and pd_up NA						
TH01_0062_S01	geneSets_priority1	HALLMARK_IL2_STAT5_SIGNALING (pc_up (10/200))	druggable: CCND3 (pc)	overlap_genes_in_pc_up CAPN3,CCND3,CD79B,CST7,FGL2,IL1R2,LTB,MXD1,SELL,TNFRSF1B and pd_up CST7,IL1R2						
TH01_0062_S01	geneSets_priority1	HALLMARK_IL6_JAK_STAT3_SIGNALING (pc_up (12/87))	druggable: PIK3R5 (pc)	overlap_genes_in_pc_up CSF2RA,CSF2RB,CSF3R,DNTT,GRB2,IL17RA,IL1R2,LTB,MYD88,PF4,PIK3R5,TNFRSF1B and pd_up CD14,CXCL1,IL1R2						
TH01_0062_S01	geneSets_priority1	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY (pc_up (12/79))	druggable: BTK (pc), PIK3CD (pc), PIK3R5 (pc)	overlap_genes_in_pc_up BTK,GRB2,LCP2,LYN,MAP2K3,MAPK14,PIK3CD,PIK3R5,PLCG2,PRKCB,RAC2,VAV1 and pd_up NA						
TH01_0062_S01	geneSets_priority1	KEGG_JAK_STAT_SIGNALING_PATHWAY (pc_up (10/155))	druggable: CCND3 (pc), IL6R (pc), PIK3CD (pc), PIK3R5 (pc), STAT5B (pc)	overlap_genes_in_pc_up CCND3,CSF2RA,CSF2RB,CSF3R,GRB2,IL6R,PIK3CD,PIK3R5,PTPN6,STAT5B and pd_up NA						
TH01_0062_S01	geneSets_priority1	KEGG_VEGF_SIGNALING_PATHWAY (pc_up (7/76))	druggable: PIK3CD (pc), PIK3R5 (pc)	overlap_genes_in_pc_up MAPK14,PIK3CD,PIK3R5,PLCG2,PRKCB,PTGS2,RAC2 and pd_up PTGS2						
TH01_0062_S01	geneSets_priority1	PID_BCR_5PATHWAY (pc_up (11/65))	druggable: BTK (pc)	overlap_genes_in_pc_up BCL2A1,BTK,CD22,CD79B,CSK,GRB2,LYN,MAPK14,PLCG2,PTPN6,PTPRC and pd_up NA						
TH01_0062_S01	geneSets_priority1	PID_CXCR3_PATHWAY (pc_up (6/43))	druggable: PIK3CD (pc)	overlap_genes_in_pc_up ITGAL,ITGB2,MAP2K3,MAPK14,PF4,PIK3CD and pd_up ITGB2						
TH01_0062_S01	geneSets_priority1	PID_FCER1_PATHWAY (pc_up (8/62))	druggable: BTK (pc)	overlap_genes_in_pc_up BTK,GRB2,HCLS1,LAT2,LCP2,LYN,PRKCB,VAV1 and pd_up NA						
TH01_0062_S01	geneSets_priority1	PID_IL4_2PATHWAY (pc_up (8/65))	druggable: BCL6 (pc), STAT5B (pc)	overlap_genes_in_pc_up ARG1,BCL6,FES,GRB2,MAPK14,PTPN6,SPI1,STAT5B and pd_up ARG1,TFF3						
TH01_0062_S01	geneSets_priority1	PID_IL5_PATHWAY (pc_up (4/14))	druggable: STAT5B (pc)	overlap_genes_in_pc_up CSF2RB,GRB2,LYN,STAT5B and pd_up NA						
TH01_0062_S01	geneSets_priority1	PID_PI3KCI_PATHWAY (pc_up (7/49))	druggable: BTK (pc), PIK3CD (pc), PIK3R5 (pc)	overlap_genes_in_pc_up BTK,FGR,HCK,LYN,PIK3CD,PIK3R5,PLCG2 and pd_up ARAP3						
TH01_0062_S01	geneSets_priority1	PID_PTP1B_PATHWAY (pc_up (6/52))	druggable: STAT5B (pc)	overlap_genes_in_pc_up CSK,FGR,GRB2,HCK,LYN,STAT5B and pd_up NA						
TH01_0062_S01	geneSets_priority1	PID_TXA2PATHWAY (pc_up (10/57))	druggable: PIK3R5 (pc)	overlap_genes_in_pc_up ADRBK1,ARHGEF1,ARRB2,FGR,HCK,LYN,MAPK14,PIK3R5,PLCB2,PRKCB and pd_up NA						
TH01_0062_S01	geneSets_priority1	REACTOME_GPVI_MEDIATED_ACTIVATION_CASCADE (pc_up (7/31))	druggable: PIK3R5 (pc)	overlap_genes_in_pc_up LCP2,LYN,PIK3R5,PLCG2,RAC2,RHOG,VAV1 and pd_up NA						
TH01_0062_S01	geneSets_priority1	REACTOME_IL_2_SIGNALING (pc_up (7/41))	druggable: PIK3CD (pc), STAT5B (pc)	overlap_genes_in_pc_up CSF2RA,CSF2RB,GRB2,PIK3CD,PTK2B,PTPN6,STAT5B and pd_up NA						
TH01_0062_S01	geneSets_priority1	REACTOME_IL_3_5_AND_GM_CSF_SIGNALING (pc_up (9/43))	druggable: PIK3CD (pc), STAT5B (pc)	overlap_genes_in_pc_up CSF2RA,CSF2RB,GRB2,HCK,LYN,PIK3CD,PTPN6,STAT5B,VAV1 and pd_up NA						
TH01_0062_S01	geneSets_priority1	REACTOME_IL_RECEPTOR_SHC_SIGNALING (pc_up (5/27))	druggable: PIK3CD (pc)	overlap_genes_in_pc_up CSF2RA,CSF2RB,GRB2,PIK3CD,PTPN6 and pd_up NA						
TH01_0062_S01	geneSets_priority1	REACTOME_MYD88_MAL_CASCADE_INITIATED_ON_PLASMA_MEMBRANE (pc_up (7/83))	druggable: BTK (pc)	overlap_genes_in_pc_up BTK,MAP2K3,MAPK14,MYD88,S100A12,TLR1,TLR4 and pd_up NA						
TH01_0062_S01	geneSets_priority1	REACTOME_REGULATION_OF_SIGNALING_BY_CBL (pc_up (5/18))	druggable: PIK3CD (pc)	overlap_genes_in_pc_up GRB2,HCK,LYN,PIK3CD,VAV1 and pd_up NA						
TH01_0062_S01	geneSets_priority1	REACTOME_SIGNALING_BY_SCF_KIT (pc_up (7/78))	druggable: STAT5B (pc)	overlap_genes_in_pc_up FES,GRB2,LYN,MMP9,PTPN6,STAT5B,VAV1 and pd_up MMP9						
TH01_0062_S01	geneSets_priority1	REACTOME_TOLL_RECEPTOR_CASCADES (pc_up (8/118))	druggable: BTK (pc)	overlap_genes_in_pc_up BTK,MAP2K3,MAPK14,MYD88,PLCG2,S100A12,TLR1,TLR4 and pd_up CD14						
TH01_0062_S01	geneSets_priority1	SIG_BCR_SIGNALING_PATHWAY (pc_up (10/46))	druggable: BTK (pc), PIK3CD (pc)	overlap_genes_in_pc_up BTK,CD22,CSK,FLOT2,GRB2,LYN,PIK3CD,PLCG2,PTPRC,VAV1 and pd_up NA						
TH01_0062_S01	geneSets_priority1	SIG_PIP3_SIGNALING_IN_B_LYMPHOCYTES (pc_up (7/36))	druggable: BTK (pc), PIK3R5 (pc)	overlap_genes_in_pc_up BTK,FLOT2,LYN,PIK3R5,PLCG2,PTPRC,VAV1 and pd_up NA						
TH01_0062_S01	geneSets_priority1	ST_B_CELL_ANTIGEN_RECEPTOR (pc_up (7/40))	druggable: BTK (pc), PIK3CD (pc)	overlap_genes_in_pc_up BTK,CSK,GRB2,LYN,PIK3CD,PLCG2,VAV1 and pd_up PI3						
TH01_0062_S01	geneSets_broadCancer	REACTOME_IMMUNE_SYSTEM (comm_up (9/933) and pc_up (53/933) and pd_up (14/933))	druggable: BTK (pc), IL6R (pc), PIK3CD (pc), STAT5B (pc)	overlap_genes_in_pc_up AMICA1,BTK,CD79B,CR1,CSF2RA,CSF2RB,CSK,CYBB,DEFA1,DEFA1B,DEFA3,DEFA4,FYB,GRB2,HCK,ICAM3,IFITM2,IL1R2,IL6R,ITGAL,ITGB2,LCP2,LILRA1,LILRB2,LILRB3,LYN,MAP2K3,MAP3K3,MAPK14,MEFV,MYD88,NCF2,NCF4,NLRC4,NUP214,PIK3CD,PLCG2,PPP2R5A,PRKCB,PSTPIP1,PTAFR,PTK2B,PTPN6,PTPRC,RASGRP2,S100A12,SELL,STAT5B,TLR1,TLR4,TRIM25,VASP,VAV1,WAS and pd_up C1QA,C1QC,CD14,CYBA,DEFA1,DEFA1B,DEFA3,DEFA4,IFIT2,IL1R2,ITGB2,MEFV,NCF4,NLRC4,VASP						
TH01_0062_S01	geneSets_broadCancer	REACTOME_GPCR_DOWNSTREAM_SIGNALING (comm_up (8/805) and pc_up (29/805) and pd_up (10/805))	druggable: PIK3R5 (pc)	overlap_genes_in_pc_up ADORA2A,ADRBK1,ARHGEF1,C5AR1,CXCR1,CXCR2,FFAR2,FGD3,FPR1,FPR2,HRH2,LPAR2,LTB4R,OXER1,P2RY13,PF4,PIK3R5,PLCB2,PPBP,PRKCB,PTAFR,RAC2,RASGRP2,RGS18,RGS19,RGS2,RHOG,S1PR4,VAV1 and pd_up ADORA2A,CXCL1,CXCR1,CXCR2,FFAR2,FPR1,FPR2,GNG10,OXER1,RGS2						
TH01_0062_S01	geneSets_broadCancer	KEGG_PATHWAYS_IN_CANCER (pc_up (15/328))	druggable: PIK3CD (pc), PIK3R5 (pc), STAT5B (pc)	overlap_genes_in_pc_up CSF2RA,CSF3R,DAPK2,GRB2,MMP9,PIK3CD,PIK3R5,PLCG2,PRKCB,PTGS2,RAC2,RASSF5,SPI1,STAT5B,STK4 and pd_up DAPK2,MMP9,PTGS2						
TH01_0062_S01	geneSets_broadCancer	REACTOME_ADAPTIVE_IMMUNE_SYSTEM (pc_up (28/539))	druggable: BTK (pc), PIK3CD (pc)	overlap_genes_in_pc_up AMICA1,BTK,CD79B,CSK,CYBB,FYB,GRB2,ICAM3,ITGAL,ITGB2,LCP2,LILRA1,LILRB2,LILRB3,LYN,NCF2,NCF4,PIK3CD,PLCG2,PPP2R5A,PRKCB,PTPN6,PTPRC,RASGRP2,SELL,VASP,VAV1,WAS and pd_up CYBA,ITGB2,NCF4,VASP						
TH01_0062_S01	geneSets_broadCancer	REACTOME_HEMOSTASIS (pc_up (37/466))	druggable: PIK3R5 (pc)	overlap_genes_in_pc_up AMICA1,ARRB2,CAP1,CSK,DOCK2,DOCK8,EHD1,FGR,GRB2,HBB,HBD,HBG2,ITGAL,ITGAM,ITGAX,ITGB2,LCP2,LYN,MAPK14,NFE2,PF4,PFN1,PIK3R5,PLCG2,PLEK,PPBP,PPP2R5A,PRKCB,PTPN6,RAC2,RASGRP2,RHOG,SELL,SPN,SRGN,TREM1,VAV1 and pd_up GNG10,ITGB2,OLR1,PFN1,SLC16A3						
TH01_0062_S01	geneSets_broadCancer	KEGG_APOPTOSIS (pc_up (7/88))	druggable: PIK3CD (pc), PIK3R5 (pc)	overlap_genes_in_pc_up APAF1,CFLAR,CSF2RB,MYD88,PIK3CD,PIK3R5,TNFRSF10C and pd_up TNFRSF10C						
TH01_0062_S01	geneSets_broadCancer	KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY (pc_up (13/75))	druggable: BTK (pc), PIK3CD (pc), PIK3R5 (pc)	overlap_genes_in_pc_up BTK,CD22,CD79B,GRB2,LILRB3,LYN,PIK3CD,PIK3R5,PLCG2,PRKCB,PTPN6,RAC2,VAV1 and pd_up NA						
TH01_0062_S01	geneSets_broadCancer	KEGG_HEMATOPOIETIC_CELL_LINEAGE (pc_up (11/88))	druggable: IL6R (pc), MS4A1 (pc)	overlap_genes_in_pc_up CD22,CD33,CD37,CR1,CSF2RA,CSF3R,DNTT,IL1R2,IL6R,ITGAM,MS4A1 and pd_up CD14,IL1R2						
TH01_0062_S01	geneSets_broadCancer	KEGG_NON_SMALL_CELL_LUNG_CANCER (pc_up (7/54))	druggable: PIK3CD (pc), PIK3R5 (pc)	overlap_genes_in_pc_up GRB2,PIK3CD,PIK3R5,PLCG2,PRKCB,RASSF5,STK4 and pd_up NA						
TH01_0062_S01	geneSets_broadCancer	KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY (pc_up (8/108))	druggable: PIK3CD (pc), PIK3R5 (pc)	overlap_genes_in_pc_up GRB2,LCP2,MAPK14,PIK3CD,PIK3R5,PTPN6,PTPRC,VAV1 and pd_up NA						
TH01_0062_S01	geneSets_broadCancer	PID_EPO_PATHWAY (pc_up (7/34))	druggable: BTK (pc), STAT5B (pc)	overlap_genes_in_pc_up BTK,GRB2,LYN,MAPK14,PLCG2,PTPN6,STAT5B and pd_up NA						
TH01_0062_S01	geneSets_broadCancer	REACTOME_ANTIGEN_ACTIVATES_B_CELL_RECEPTOR_LEADING_TO_GENERATION_OF_SECOND_MESSENGERS (pc_up (7/29))	druggable: BTK (pc), PIK3CD (pc)	overlap_genes_in_pc_up BTK,CD79B,GRB2,LYN,PIK3CD,PLCG2,VAV1 and pd_up NA						
TH01_0062_S01	geneSets_nonCancer	HALLMARK_COMPLEMENT (comm_up (5/200) and pc_up (20/200) and pd_up (9/200))	druggable: PIK3R5 (pc)	overlap_genes_in_pc_up CDA,CR1,EHD1,FCN1,GCA,GRB2,ITGAM,LCP2,LTA4H,LTF,LYN,MMP8,PFN1,PIK3R5,PLEK,RHOG,S100A12,S100A9,USP15,WAS and pd_up C1QA,C1QC,CXCL1,GCA,LTA4H,LTF,MMP8,OLR1,PFN1						
TH01_0062_S01	geneSets_nonCancer	REACTOME_INNATE_IMMUNE_SYSTEM (comm_up (5/279) and pc_up (16/279) and pd_up (8/279))	druggable: BTK (pc)	overlap_genes_in_pc_up BTK,CR1,DEFA1,DEFA1B,DEFA3,DEFA4,MAP2K3,MAPK14,MEFV,MYD88,NLRC4,PLCG2,PSTPIP1,S100A12,TLR1,TLR4,TRIM25 and pd_up C1QA,C1QC,CD14,DEFA1,DEFA1B,DEFA3,DEFA4,MEFV,NLRC4						
TH01_0062_S01	geneSets_nonCancer	HALLMARK_INFLAMMATORY_RESPONSE (comm_up (5/200) and pc_up (20/200) and pd_up (7/200))	druggable: PIK3R5 (pc)	overlap_genes_in_pc_up AQP9,C5AR1,CLEC5A,CSF3R,CYBB,FFAR2,FPR1,LCP2,LYN,MEFV,MXD1,NAMPT,PIK3R5,PROK2,PTAFR,RHOG,SELL,SEMA4D,TLR1,TNFRSF1B and pd_up AQP9,CD14,FFAR2,FPR1,MEFV,NAMPT,OLR1						
TH01_0062_S01	geneSets_nonCancer	KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION (comm_up (4/118) and pc_up (17/118) and pd_up (5/118))	druggable: PIK3CD (pc), PIK3R5 (pc)	overlap_genes_in_pc_up CYBB,ITGAL,ITGAM,ITGB2,MAPK14,MMP9,NCF1,NCF2,NCF4,PIK3CD,PIK3R5,PLCG2,PRKCB,PTK2B,RAC2,RASSF5,VASP,VAV1 and pd_up CYBA,ITGB2,MMP9,NCF4,VASP						
TH01_0062_S01	geneSets_nonCancer	HALLMARK_ALLOGRAFT_REJECTION (pc_up (24/200))	druggable: CCND3 (pc)	overlap_genes_in_pc_up CCND3,CFP,CSK,ELANE,FGR,FYB,HCLS1,IGSF6,IL16,ITGAL,ITGB2,LCP2,LTB,LYN,MMP9,NCF4,PF4,PRKCB,PTPN6,PTPRC,SPI1,SRGN,TLR1,WAS and pd_up ITGB2,MMP9,NCF4						
TH01_0062_S01	geneSets_nonCancer	HALLMARK_HEME_METABOLISM (pc_up (12/200))	druggable: CCND3 (pc)	overlap_genes_in_pc_up AHSP,ALAS2,CA1,CCND3,FBXO9,HBB,HBD,MAP2K3,NFE2,SLC25A37,SLC4A1,USP15 and pd_up NA						
TH01_0062_S01	geneSets_nonCancer	KEGG_REGULATION_OF_ACTIN_CYTOSKELETON (pc_up (15/216))	druggable: PIK3CD (pc), PIK3R5 (pc)	overlap_genes_in_pc_up ARHGEF1,ARPC3,ARPC5,CSK,FGD3,ITGAL,ITGAM,ITGAX,ITGB2,PFN1,PIK3CD,PIK3R5,RAC2,VAV1,WAS and pd_up CD14,ITGB2,PFN1						
TH01_0062_S01	geneSets_nonCancer	REACTOME_PLATELET_ACTIVATION_SIGNALING_AND_AGGREGATION (pc_up (19/208))	druggable: PIK3R5 (pc)	overlap_genes_in_pc_up ARRB2,CAP1,CSK,GRB2,LCP2,LYN,MAPK14,PF4,PFN1,PIK3R5,PLCG2,PLEK,PPBP,PRKCB,RAC2,RASGRP2,RHOG,SRGN,VAV1 and pd_up GNG10,PFN1						
TH01_0062_S01	geneSets_nonCancer	KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY (pc_up (15/137))	druggable: PIK3CD (pc), PIK3R5 (pc)	overlap_genes_in_pc_up FCGR3B,GRB2,ITGAL,ITGB2,LCP2,PIK3CD,PIK3R5,PLCG2,PRKCB,PTK2B,PTPN6,RAC2,SH3BP2,TNFRSF10C,VAV1 and pd_up FCGR3B,ITGB2,TNFRSF10C						
TH01_0062_S01		SA_MMP_CYTOKINE_CONNECTION (pc_up (4/15))	druggable: IL6R (pc)	overlap_genes_in_pc_up IL6R,SELL,SPN,TNFRSF1B and pd_up NA						
TH01_0063_S01	new sample									
TH01_0063_S01	Disease	sarcoma								
TH01_0063_S01	druggableUpOutlier	MDM2	pc, pd		BCL2/MDM2		MDM2	None		
TH01_0063_S01	druggableUpOutlier	STAT2	pc, pd		JAK/STAT	JAK/STAT	STAT2	None		
TH01_0064_S01	new sample									
TH01_0064_S01	Disease	lymphoma								
TH01_0064_S01	druggableUpOutlier	MS4A1	pc		B-cell receptor signaling	B-cell receptor signaling	MS4A1	KEGG_HEMATOPOIETIC_CELL_LINEAGE (comm_up (3/88) and pc_up (11/88) and pd_up (3/88))		
TH01_0064_S01	geneSets_broadCancer	KEGG_HEMATOPOIETIC_CELL_LINEAGE (comm_up (3/88) and pc_up (11/88) and pd_up (3/88))	druggable: MS4A1 (pc)	overlap_genes_in_pc_up CD19,CD2,CD22,CD3D,CD3G,CD5,CD7,CD8B,CR2,FCER2,MS4A1 and pd_up CD3D,CR2,FCER2						
TH01_0069_S01	new sample									
TH01_0069_S01	Disease	sarcoma								
TH01_0069_S01	druggableUpOutlier	No druggableUpOutliers								
TH01_0069_S01		no enriched druggable geneSets								
TH01_0120_S01	new sample									
TH01_0120_S01	Disease	acute myeloid leukemia								
TH01_0120_S01	druggableUpOutlier	CDK6	pc		Cell Cycle	Cell Cycle	CDK6	PID_CMYB_PATHWAY (pc_up (6/84))		
TH01_0120_S01	druggableUpOutlier	KIT	pc		Receptor Tyrosine Kinase (RTK)	Receptor Tyrosine Kinase (RTK)	KIT	PID_CMYB_PATHWAY (pc_up (6/84))		
