
Overlap Results

Collection(s):	CP, H
# overlaps shown:	4
# genesets in collections:	1379
# genes in comparison (n):	75
# genes in universe (N):	45956

Gene Set Name	# Genes in Gene Set (K)	Description	# Genes in Overlap (k)	k/K	p-value	FDR q-value
6700	SPRR2A	small proline rich protein 2A				
399473	SPRED3	sprouty related EVH1 domain containing 3				
692084	SNORD13	small nucleolar RNA, C/D box 13				
677843	SNORA77	small nucleolar RNA, H/ACA box 77				
6511	SLC1A6	solute carrier family 1 member 6				
26266	SLC13A4	solute carrier family 13 member 4				
57468	SLC12A5	solute carrier family 12 member 5				
53358	SHC3	SHC adaptor protein 3				
6338	SCNN1B	sodium channel epithelial 1 beta subunit				
326278	RPL13AP2	ribosomal protein L13a pseudogene 2				
114822	RHPN1	rhophilin Rho GTPase binding protein 1				
8601	RGS20	regulator of G protein signaling 20				
3516	RBPJ	recombination signal binding protein for immunoglobulin kappa J region				
138046	RALYL	RALY RNA binding protein like				
5426	POLE	DNA polymerase epsilon, catalytic subunit				
54872	PIGG	phosphatidylinositol glycan anchor biosynthesis class G				
5047	PAEP	progestagen associated endometrial protein				
29991	OBP2A	odorant binding protein 2A				
57224	NHSL1	NHS like 1				
4193	MDM2	MDM2 proto-oncogene				
79888	LPCAT1	lysophosphatidylcholine acyltransferase 1				
90632	LINC00473	long intergenic non-protein coding RNA 473				
401944	LDLRAD2	low density lipoprotein receptor class A domain containing 2				
402665	IGLON5	IgLON family member 5				
352887	GYG2P1	glycogenin 2 pseudogene 1				
8908	GYG2	glycogenin 2				
121355	GTSF1	gametocyte specific factor 1				
2796	GNRH1	gonadotropin releasing hormone 1				
84850	GLIS3-AS1	GLIS3 antisense RNA 1				
2710	GK	glycerol kinase				
199720	GGN	gametogenetin				
27023	FOXB1	forkhead box B1				
56776	FMN2	formin 2				
2324	FLT4	fms related tyrosine kinase 4				
2173	FABP7	fatty acid binding protein 7				
90625	ERVH48-1	endogenous retrovirus group 48 member 1				
57634	EP400	E1A binding protein p400				
123872	DNAAF1	dynein axonemal assembly factor 1				
389903	CSAG3	CSAG family member 3				
158511	CSAG1	chondrosarcoma associated gene 1				
1392	CRH	corticotropin releasing hormone				
1258	CNGB1	cyclic nucleotide gated channel beta 1				
9076	CLDN1	claudin 1				
26038	CHD5	chromodomain helicase DNA binding protein 5				
752014	CEMP1	cementum protein 1				
401577	CD99P1	CD99 molecule pseudogene 1				
57172	CAMK1G	calcium/calmodulin dependent protein kinase IG				
618	BCYRN1	brain cytoplasmic RNA 1				
83875	BCO2	beta-carotene oxygenase 2				
421	ARVCF	ARVCF, delta catenin family member				
23779	ARHGAP8	Rho GTPase activating protein 8				
10053	AP1M2	adaptor related protein complex 1 subunit mu 2				
144193	AMDHD1	amidohydrolase domain containing 1				
8092	ALX1	ALX homeobox 1				
57491	AHRR	aryl-hydrocarbon receptor repressor				
80221	ACSF2	acyl-CoA synthetase family member 2				
6833	ABCC8	ATP binding cassette subfamily C member 8				
